id,created_at,original_text,clean_text,polarity
1211591259808133120,Mon Dec 30 10:14:01 +0000 2019,Not to toot my own horn but my Palpatine impression is actually extremely good https://t.co/sDqQG4pjHd,Not toot horn Palpatine impression actually extremely good https //t.co/sDqQG4pjHd,0.7
1211587585862074368,Mon Dec 30 09:59:25 +0000 2019,"I'm now done tweeting about the Rise of Skywalker, although this might be a lie",I 'm done tweeting Rise Skywalker although might lie,0.0
1211585616489533442,Mon Dec 30 09:51:35 +0000 2019,@eadingas This would make sense for the Trevorrow version but she passed away almost a year before the Abrams/Terrio version began to be written so they would have entered into the process already understanding how much of a role Leia would have,eadingas This would make sense Trevorrow version passed away almost year Abrams/Terrio version began written would entered process already understanding much role Leia would,0.2
1211581039623036928,Mon Dec 30 09:33:24 +0000 2019,"I'm not trying to defend the rumored Son of Mortis plot, that also sounds highkey bad. imo the idea of adding any new villain for the third in the trilogy is whack. Use what you have! No stopping at McDonald's we already have character conflicts at home",I 'm trying defend rumored Son Mortis plot also sounds highkey bad imo idea adding new villain third trilogy whack Use No stopping McDonald 's already character conflicts home,-0.18787878787878784
1211580542300241921,Mon Dec 30 09:31:26 +0000 2019,"I know everyone is just taking this (among other things) to mean Kylo Ren lived in the original cut, which is probably true, but I'm taking it a step farther and adding that the entire presence of Palpatine seems to have been added in reshoots",I know everyone taking among things mean Kylo Ren lived original cut probably true I 'm taking step farther adding entire presence Palpatine seems added reshoots,0.103125
1211579734900953088,Mon Dec 30 09:28:13 +0000 2019,RELEASE THE REY NOBODY CUT https://t.co/vtETrVKtAx,RELEASE THE REY NOBODY CUT https //t.co/vtETrVKtAx,0.0
1211548493182984193,Mon Dec 30 07:24:04 +0000 2019,@WeekesPrincess Actually in most anime they are just waiting for the appropriate time to say they're force sensitive,WeekesPrincess Actually anime waiting appropriate time say 're force sensitive,0.19999999999999998
1211547391188328448,Mon Dec 30 07:19:42 +0000 2019,@NateBirch I invented it in my rage it's like hamhanded but sloppier,NateBirch I invented rage 's like hamhanded sloppier,0.0
1211542239358279680,Mon Dec 30 06:59:13 +0000 2019,"Sorry I forgot it was the late Carrie Fisher's fault Rose wasn't in TROS, not the guys making the movie and their butterhanded idea to make all her scenes opposite the scary cgi Fisher they insisted on having and then cut all of those despite keeping other scary cgi Fisher scenes",Sorry I forgot late Carrie Fisher 's fault Rose n't TROS guys making movie butterhanded idea make scenes opposite scary cgi Fisher insisted cut despite keeping scary cgi Fisher scenes,-0.20000000000000004
1211523560809721856,Mon Dec 30 05:45:00 +0000 2019,Lol there are even more reads on this scene than I initially thought this is a hot mess,Lol even reads scene I initially thought hot mess,0.21875
