id,created_at,original_text,clean_text,polarity
1204712246791688192,Wed Dec 11 10:39:16 +0000 2019,"As someone who's really bad with names and faces, the few times in my life when I've run into someone and been able… https://t.co/RtuNJK3FXd",As someone 's really bad names faces times life I 've run someone able… https //t.co/RtuNJK3FXd,-0.6999999999999998
1204707988742651905,Wed Dec 11 10:22:21 +0000 2019,I'm trying to make the Swiss Family Treehouse the next insta spot https://t.co/94c7n6mVb1 https://t.co/HOigtWlw4W,I 'm trying make Swiss Family Treehouse next insta spot https //t.co/94c7n6mVb1 https //t.co/HOigtWlw4W,0.0
1204700360083828737,Wed Dec 11 09:52:02 +0000 2019,YES I'm glad in the cartoon adaptation I don't fall off https://t.co/RcR8nXKqJS,YES I 'm glad cartoon adaptation I n't fall https //t.co/RcR8nXKqJS,0.5
1204696967818858496,Wed Dec 11 09:38:33 +0000 2019,I would hang this in my home https://t.co/fIWa6Eb0nM,I would hang home https //t.co/fIWa6Eb0nM,0.0
1204688786396893184,Wed Dec 11 09:06:03 +0000 2019,It's come to my attention that the Sonic movie comes out on Valentine's Day but that just makes me want to double d… https://t.co/9BTlRpchTl,It 's come attention Sonic movie comes Valentine 's Day makes want double d… https //t.co/9BTlRpchTl,0.0
1204671597035999232,Wed Dec 11 07:57:45 +0000 2019,Falling off a slippery dinosaur but having a good time https://t.co/1CcqL7vybi,Falling slippery dinosaur good time https //t.co/1CcqL7vybi,0.7
1204596949967441921,Wed Dec 11 03:01:07 +0000 2019,@shawnxmannyisnt We're still in the First Look rn but the first time I saw it was with a big audience and very good!,shawnxmannyisnt We 're still First Look rn first time I saw big audience good,0.3
1204595986628169728,Wed Dec 11 02:57:18 +0000 2019,Seeing Knives Out with my sister because she hasn't seen it yet and we straight up got the last 2 seats in this big… https://t.co/HwrsHc1wbF,Seeing Knives Out sister n't seen yet straight got last 2 seats big… https //t.co/HwrsHc1wbF,0.1
1204558297488977920,Wed Dec 11 00:27:32 +0000 2019,@RoninFoxhound That's not what I said,RoninFoxhound That 's I said,0.0
1204556057227382784,Wed Dec 11 00:18:38 +0000 2019,It still doesn't feel like episode ix is coming out. The excitement over Frozen 2 and the new star wars ride distra… https://t.co/U64WUwgFiC,It still n't feel like episode ix coming The excitement Frozen 2 new star wars ride distra… https //t.co/U64WUwgFiC,0.13636363636363635
1204529785151488000,Tue Dec 10 22:34:14 +0000 2019,"@PerilousWood It was the kid from Iron Man 3, a movie I actually remembered so I wouldn't have even benefited from the article",PerilousWood It kid Iron Man 3 movie I actually remembered I would n't even benefited article,0.0
1204528368617607168,Tue Dec 10 22:28:36 +0000 2019,Was just thinking about how I had Avengers Endgame spoiled for me because I googled the movie title to get showtime… https://t.co/NwLKsdrO9e,Was thinking I Avengers Endgame spoiled I googled movie title get showtime… https //t.co/NwLKsdrO9e,0.0
1204325206505984000,Tue Dec 10 09:01:19 +0000 2019,This is mainly about youtube and I realize that's not where I hit a number milestone but my point is that it happen… https://t.co/WyiOp8JYss,This mainly youtube I realize 's I hit number milestone point happen… https //t.co/WyiOp8JYss,0.16666666666666666
1204324478508863488,Tue Dec 10 08:58:25 +0000 2019,Lately I feel like every third comment I get is somebody being weirdly and blatantly rude and that wasn't the case… https://t.co/rEayTtb3yG,Lately I feel like every third comment I get somebody weirdly blatantly rude n't case… https //t.co/rEayTtb3yG,-0.19999999999999998
1204278388631863297,Tue Dec 10 05:55:16 +0000 2019,@LackingSaint This pic makes me want to watch it,LackingSaint This pic makes want watch,0.0
1204277340848582657,Tue Dec 10 05:51:07 +0000 2019,Is it bad to do 4 star wars videos in a row,Is bad 4 star wars videos row,-0.6999999999999998
1204265309474967553,Tue Dec 10 05:03:18 +0000 2019,@retiredsungod Instead of watching you can donate what plane wifi would have cost directly to @GKTWVillage,retiredsungod Instead watching donate plane wifi would cost directly GKTWVillage,0.1
1204207022662651905,Tue Dec 10 01:11:41 +0000 2019,@ProZD Now that's more like it,ProZD Now 's like,0.0
1204200051809095681,Tue Dec 10 00:43:59 +0000 2019,This is for when you want to wear a lot of sequins but don't want anybody to look at you https://t.co/qPPu1aUO36,This want wear lot sequins n't want anybody look https //t.co/qPPu1aUO36,0.0
1204143310513807361,Mon Dec 09 20:58:31 +0000 2019,"@ViktorijaRoseB I know I thought all the replies would just be asking about the extreme specificity of ""Ellen-tier… https://t.co/npjmPk5iJ0",ViktorijaRoseB I know I thought replies would asking extreme specificity `` Ellen-tier… https //t.co/npjmPk5iJ0,-0.125
1204142022560559105,Mon Dec 09 20:53:24 +0000 2019,@Strangetramp He's 9 years old here,Strangetramp He 's 9 years old,0.1
1204141085834039296,Mon Dec 09 20:49:41 +0000 2019,We're gonna find out all the other kids at jedi school just wore jeans and tshirts https://t.co/jF1FFNlN4u,We 're gon na find kids jedi school wore jeans tshirts https //t.co/jF1FFNlN4u,0.0
1204134940469874688,Mon Dec 09 20:25:16 +0000 2019,@drifter1717 Definitely similar movement but  timing-wise it's more likely the witch ended up as Redd on FL's pirat… https://t.co/Y37jMJAqgB,drifter1717 Definitely similar movement timing-wise 's likely witch ended Redd FL 's pirat… https //t.co/Y37jMJAqgB,0.0
1204126044795658240,Mon Dec 09 19:49:55 +0000 2019,"@moon_walrus Oh definitely, and they deliberately don't reveal him until you're both far above and moving, can't win em all",moon_walrus Oh definitely deliberately n't reveal 're far moving ca n't win em,0.3
1204124451618611200,Mon Dec 09 19:43:35 +0000 2019,I'm not sorry anymore that john boyega had an Ellen-tier animatronic in the new ride,I 'm sorry anymore john boyega Ellen-tier animatronic new ride,-0.18181818181818182
1204122630024048640,Mon Dec 09 19:36:21 +0000 2019,Post-The-Incident the Progress family is doing ok but without any means to churn butter https://t.co/GMdFXFaagh,Post-The-Incident Progress family ok without means churn butter https //t.co/GMdFXFaagh,0.5
