id,created_at,original_text,clean_text,polarity
1204751730971303936,Wed Dec 11 13:16:10 +0000 2019,@LarissaMarantz It’s in Nanjing China lol. Wish this was in LA!,LarissaMarantz It ’ Nanjing China lol Wish LA,0.8
1204708333279690752,Wed Dec 11 10:23:43 +0000 2019,325$ minion purse thought you’d like to know @bauerpower @erichoutman https://t.co/2v3j9G3mZo,325 minion purse thought ’ like know bauerpower erichoutman https //t.co/2v3j9G3mZo,0.0
1204626798333644800,Wed Dec 11 04:59:44 +0000 2019,@maggiemkang Of course it’s spam,maggiemkang Of course ’ spam,0.0
1204601215302225920,Wed Dec 11 03:18:04 +0000 2019,"I guess I have zero passions.

Omg I have no passions. https://t.co/raIcZrSec4",I guess I zero passions Omg I passions https //t.co/raIcZrSec4,0.0
1204578186782265344,Wed Dec 11 01:46:34 +0000 2019,"@superbonart It’s not all like that, Nanjing is giant and the still have the historical sectors that are only renov… https://t.co/hi7h7mfNRj",superbonart It ’ like Nanjing giant still historical sectors renov… https //t.co/hi7h7mfNRj,0.0
1204531191962988544,Tue Dec 10 22:39:49 +0000 2019,Reminiscing about a dead pitch that would have fucking SLAYED. THE. DAMNED. GAME.,Reminiscing dead pitch would fucking SLAYED THE DAMNED GAME,-0.4000000000000001
1204527729716031488,Tue Dec 10 22:26:04 +0000 2019,"Nanjing has changed so much since I last visited, some real legit spider verse and blade runner vibes https://t.co/x3YisMiKCJ",Nanjing changed much since I last visited real legit spider verse blade runner vibes https //t.co/x3YisMiKCJ,0.13333333333333333
1204347700331679744,Tue Dec 10 10:30:42 +0000 2019,I know this doesn’t sound like a triumph but it fucking is I finally got Alipay to work on my phone,I know ’ sound like triumph fucking I finally got Alipay work phone,0.2
1203930462344888321,Mon Dec 09 06:52:44 +0000 2019,Sketching on this vendor trip https://t.co/ImfzqQ5CjF,Sketching vendor trip https //t.co/ImfzqQ5CjF,0.0
1203828851773603840,Mon Dec 09 00:08:58 +0000 2019,@conservmillen @jameelajamil Are you high,conservmillen jameelajamil Are high,0.16
1203783546223022080,Sun Dec 08 21:08:57 +0000 2019,It’s 5 am here and I’m debating if I should just go to the gym to take advantage of this jet lag,It ’ 5 I ’ debating I go gym take advantage jet lag,0.0
1203780769803452417,Sun Dec 08 20:57:55 +0000 2019,"@garriola83 I asked them if it’s a cash problem they said no, that they only accept orders from the App!! LIKE WTF",garriola83 I asked ’ cash problem said accept orders App LIKE WTF,-0.5
1203581556343721984,Sun Dec 08 07:46:19 +0000 2019,THAT I PHYSICALLY WALKED IN TONTRY AMD ORDER,THAT I PHYSICALLY WALKED IN TONTRY AMD ORDER,0.0
1203581491084582912,Sun Dec 08 07:46:03 +0000 2019,A PHYSICAL STORE,A PHYSICAL STORE,0.0
1203581443017887744,Sun Dec 08 07:45:52 +0000 2019,When did China get so fancy I literally was turned away from a buck and mortar coffee shop because they only took APP ORDERs,When China get fancy I literally turned away buck mortar coffee shop took APP ORDERs,0.0
1203579118874324993,Sun Dec 08 07:36:38 +0000 2019,.@dr_bugs_ is this the thing you were talking about? https://t.co/J1SdFMOvjt,dr_bugs_ thing talking https //t.co/J1SdFMOvjt,0.0
1203525661064740864,Sun Dec 08 04:04:12 +0000 2019,@amandawtwong Oh yea and sometimes there’s a cop there to regulate it but they still don’t care,amandawtwong Oh yea sometimes ’ cop regulate still ’ care,0.0
1203520059433345024,Sun Dec 08 03:41:57 +0000 2019,I forgot that when you’re in China traffic lines are a suggestion,I forgot ’ China traffic lines suggestion,0.0
1203483290377711616,Sun Dec 08 01:15:50 +0000 2019,@bauerpower Is there like anti freeze in the water cause otherwise that’s counterproductive,bauerpower Is like anti freeze water cause otherwise ’ counterproductive,0.0
1203482434341261312,Sun Dec 08 01:12:26 +0000 2019,We’re stuck on the tarmac what’s happening here!? https://t.co/COzrtpC2Tz,We ’ stuck tarmac ’ happening https //t.co/COzrtpC2Tz,0.0
1203474946057363456,Sun Dec 08 00:42:41 +0000 2019,"Watch out for kipo, next year is going to be something https://t.co/B7eehZiUbr",Watch kipo next year going something https //t.co/B7eehZiUbr,0.0
1203474401942892545,Sun Dec 08 00:40:31 +0000 2019,@Beavs But I didn’t tape any bananas to any walls,Beavs But I ’ tape bananas walls,0.0
1203426546720989185,Sat Dec 07 21:30:21 +0000 2019,This is fine,This fine,0.4166666666666667
1203426512352894976,Sat Dec 07 21:30:13 +0000 2019,And I feel great,And I feel great,0.8
1203426299739435008,Sat Dec 07 21:29:23 +0000 2019,I didn’t do any art in 2019,I ’ art 2019,0.0
1203191727223267328,Sat Dec 07 05:57:16 +0000 2019,@maggiemkang Your hair looks great!!!,maggiemkang Your hair looks great,0.8
1203094524790132737,Fri Dec 06 23:31:01 +0000 2019,"@MingjueChen ugh i can never get his brushes to run on my computer, i think its corrupted can i bum yours?",MingjueChen ugh never get brushes run computer think corrupted bum,0.0
1203056552459980800,Fri Dec 06 21:00:08 +0000 2019,@victoriaying Tryna copy that bestia spaetzle!!!!,victoriaying Tryna copy bestia spaetzle,0.0
1202798323050004480,Fri Dec 06 03:54:01 +0000 2019,My osso bucco (the bone was removed for the marrow in the spaetzle) https://t.co/lMvKJTu3re,My osso bucco bone removed marrow spaetzle https //t.co/lMvKJTu3re,0.0
1202740317352448000,Fri Dec 06 00:03:32 +0000 2019,@benmekler im tired just thinking about going thats how old i am now,benmekler im tired thinking going thats old,-0.15000000000000002
1202738264462876672,Thu Dec 05 23:55:22 +0000 2019,"I have 3 tickets to Dir en grey I no longer can go to, any takers??",I 3 tickets Dir en grey I longer go takers,-0.05
1202663992516206592,Thu Dec 05 19:00:14 +0000 2019,Some days I’m just like why even try lol https://t.co/o4KfUkmKje,Some days I ’ like even try lol https //t.co/o4KfUkmKje,0.8
1202448813245419520,Thu Dec 05 04:45:12 +0000 2019,Osso bucco braising https://t.co/G33N4BZ2eW,Osso bucco braising https //t.co/G33N4BZ2eW,0.0
1202441944175038464,Thu Dec 05 04:17:54 +0000 2019,@ShannonTindle_1 We gotta plan something!!!,ShannonTindle_1 We got ta plan something,0.0
1202441682383335425,Thu Dec 05 04:16:52 +0000 2019,@erichoutman But like with Taco Bell,erichoutman But like Taco Bell,0.0
1202441052025544704,Thu Dec 05 04:14:21 +0000 2019,@erichoutman Ok so there’s this YouTube trend of eating the whole menu of some food establishment but maybe we should do that,erichoutman Ok ’ YouTube trend eating whole menu food establishment maybe,0.35
1202435378591875073,Thu Dec 05 03:51:49 +0000 2019,When you go to the same gym as a beauty influencer and end up in their workout vids in the background @MingjueChen,When go gym beauty influencer end workout vids background MingjueChen,0.0
1202434710321786880,Thu Dec 05 03:49:09 +0000 2019,I’m making osso bucco and my house smells DIVINE,I ’ making osso bucco house smells DIVINE,0.0
1202403806224338945,Thu Dec 05 01:46:21 +0000 2019,@javi_draws i hate it,javi_draws hate,-0.8
1202403345115144193,Thu Dec 05 01:44:31 +0000 2019,@jimmortensen many of the shows based in LA are!,jimmortensen many shows based LA,0.5
1202374648995827712,Wed Dec 04 23:50:30 +0000 2019,@drawingnikki Omg yes,drawingnikki Omg yes,0.0
1202365218359136256,Wed Dec 04 23:13:01 +0000 2019,and more pasta friends,pasta friends,0.0
1202365179830210560,Wed Dec 04 23:12:52 +0000 2019,i also want more chef friends,also want chef friends,0.0
1202365140831621121,Wed Dec 04 23:12:43 +0000 2019,i want more foodie friends,want foodie friends,0.0
1202337988002242560,Wed Dec 04 21:24:49 +0000 2019,"@bauerpower everyones like follow your passion, but like what if im a passionate potato",bauerpower everyones like follow passion like im passionate potato,-0.05
1202312424042332170,Wed Dec 04 19:43:14 +0000 2019,evil has many faces and this is one of them https://t.co/75MwEZWOBH,evil many faces one https //t.co/75MwEZWOBH,-0.25
1202304638227058688,Wed Dec 04 19:12:18 +0000 2019,blaTANT. https://t.co/X11GUITY59,blaTANT https //t.co/X11GUITY59,-0.5
1201725855904321536,Tue Dec 03 04:52:25 +0000 2019,Yea so watchmen is ace,Yea watchmen ace,0.0
1201688006945411077,Tue Dec 03 02:22:01 +0000 2019,was watching some kpop https://t.co/Z5cCYflhlX,watching kpop https //t.co/Z5cCYflhlX,0.0
1201370210738954241,Mon Dec 02 05:19:13 +0000 2019,"Child: Snake demoness (from legend of white snake)
Preteen: sailor moon
Teen: Comic book artist
Now: animation visu… https://t.co/TN9ZB4iUj9",Child Snake demoness legend white snake Preteen sailor moon Teen Comic book artist Now animation visu… https //t.co/TN9ZB4iUj9,0.08333333333333333
1201369733276135424,Mon Dec 02 05:17:19 +0000 2019,"@ttown71 Ugh that sucks, sorry!",ttown71 Ugh sucks sorry,-0.4
1201368206817914880,Mon Dec 02 05:11:15 +0000 2019,@redherringdraws it's called 'sidecar' and its compatible with the last two generations of iMacs and the latest upd… https://t.co/pQuWliUh5V,redherringdraws 's called 'sidecar compatible last two generations iMacs latest upd… https //t.co/pQuWliUh5V,0.25
1201365006593351680,Mon Dec 02 04:58:32 +0000 2019,@Scott_Cohn_Art if you upgrade to os Catalina and have the latest update its a feature called 'sidecar' and uses th… https://t.co/Knhd8qvCXv,Scott_Cohn_Art upgrade os Catalina latest update feature called 'sidecar uses th… https //t.co/Knhd8qvCXv,0.5
1201364370506145792,Mon Dec 02 04:56:00 +0000 2019,its like a wireless Cintiq technology be cray,like wireless Cintiq technology cray,0.0
1201364303040745472,Mon Dec 02 04:55:44 +0000 2019,so I did not know this but you can use your iPad as a monitor wirelessly to your Mac,I know use iPad monitor wirelessly Mac,0.0
